Comment,Designator,Footprint,JLCPCB Part
10uf,c3,Capacitor_SMD:C_0805_2012Metric,
5k1,ccr1 ccr2,Resistor_SMD:R_0805_2012Metric,
22,dr1 dr2,Resistor_SMD:R_0805_2012Metric,
USB4110-GF-A,J1,Connector_USB:USB_C_Receptacle_GCT_USB4110,
5749181-1,J2,Library:57491811,
AVR-ISP-6,J3,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,
10k,R1 R2,Resistor_SMD:R_0805_2012Metric,
1k,R3,Resistor_SMD:R_0805_2012Metric,
SW_DPST_x2,SW1,Button_Switch_SMD:SW_SPST_PTS647_Sx38,
ATmega32U2-A,U1,Package_QFP:TQFP-32_7x7mm_P0.8mm,
1uf,uc1,Capacitor_SMD:C_0805_2012Metric,
Crystal_GND24,Y1,Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,
26pf,yc1 yc2,Capacitor_SMD:C_0805_2012Metric,
